name,bio,Duplicate,Remove End,Remove Front,bio_cleaned,Check,Last_Name,Name_in_Bio
"Aldrin, Buzz","WIKIPEDIA EXCERPTWilliam Alison Anders is a retired United States Air Force major general, former electrical engineer, nuclear engineer, NASA astronaut, and businessman. In December 1968, as a crew member of Apollo 8, he was one of the first three people to leave low Earth orbit and travel to the Moon. Along with fellow astronauts Frank Borman and Jim Lovell, Anders circled the Moon ten times, and broadcast live images and commentary back to Earth. During one of the mission's lunar orbits he photographed the iconic image, Earthrise.Apart from his professional and military careers, Anders was the U.S. Ambassador to Norway from 1976 to 1977 under President Gerald Ford.source",1,"WIKIPEDIA EXCERPTWilliam Alison Anders is a retired United States Air Force major general, former electrical engineer, nuclear engineer, NASA astronaut, and businessman. In December 1968, as a crew member of Apollo 8, he was one of the first three people to leave low Earth orbit and travel to the Moon. Along with fellow astronauts Frank Borman and Jim Lovell, Anders circled the Moon ten times, and broadcast live images and commentary back to Earth. During one of the mission's lunar orbits he photographed the iconic image, Earthrise.Apart from his professional and military careers, Anders was the U.S. Ambassador to Norway from 1976 to 1977 under President Gerald Ford.","William Alison Anders is a retired United States Air Force major general, former electrical engineer, nuclear engineer, NASA astronaut, and businessman. In December 1968, as a crew member of Apollo 8, he was one of the first three people to leave low Earth orbit and travel to the Moon. Along with fellow astronauts Frank Borman and Jim Lovell, Anders circled the Moon ten times, and broadcast live images and commentary back to Earth. During one of the mission's lunar orbits he photographed the iconic image, Earthrise.Apart from his professional and military careers, Anders was the U.S. Ambassador to Norway from 1976 to 1977 under President Gerald Ford.","Buzz Aldrin is an American engineer, former astronaut and fighter pilot. Aldrin made three spacewalks as pilot of the 1966 Gemini 12 mission, and as the lunar module pilot on the 1969 Apollo 11 mission, he and mission commander Neil Armstrong were the first two humans to land on the Moon.",X,Aldrin,FOUND
"Knight, William","WIKIPEDIA EXCERPTVladimir Aleksandrovich Shatalov is a former Soviet cosmonaut who flew three space missions of the Soyuz programme: Soyuz 4, Soyuz 8, and Soyuz 10.source",1,"WIKIPEDIA EXCERPTVladimir Aleksandrovich Shatalov is a former Soviet cosmonaut who flew three space missions of the Soyuz programme: Soyuz 4, Soyuz 8, and Soyuz 10.",,"William John ""Pete"" Knight�was an American�aeronautical engineer,�politician,�Vietnam War�combat�pilot,�test pilot, and�astronaut. He was one of twelve pilots who flew the�North American X-15, an experimental�spaceplane�jointly operated by the U.S. Air Force and�NASA. He was also selected for participation in the�X-20 Dyna-Soar�program.",O,Knight,FOUND
"Adams, Michael","WIKIPEDIA EXCERPTBoris Valentinovich Volynov is a Soviet cosmonaut who flew two space missions of the Soyuz programme: Soyuz 5, and Soyuz 21. He was the first Jewish cosmonaut to enter space,  preceding Judith Resnik in the United States. Following the death of Alexei Leonov in October 2019, he is the last surviving member of the original group of cosmonauts.source",1,"WIKIPEDIA EXCERPTBoris Valentinovich Volynov is a Soviet cosmonaut who flew two space missions of the Soyuz programme: Soyuz 5, and Soyuz 21. He was the first Jewish cosmonaut to enter space,  preceding Judith Resnik in the United States. Following the death of Alexei Leonov in October 2019, he is the last surviving member of the original group of cosmonauts.",,"Michael James Adams�was an American�aviator,�aeronautical engineer, and USAF�astronaut.�He was one of twelve pilots who flew the�North American X-15, an experimental�spaceplane�jointly operated by the Air Force and�NASA.",O,Adams,FOUND
"Eisele, Donn","WIKIPEDIA EXCERPTAleksei Stanislavovich Yeliseyev is a retired Soviet cosmonaut who flew on three missions in the Soyuz programme as a flight engineer: Soyuz 5, Soyuz 8, and Soyuz 10. He made the world's eighth spacewalk during Soyuz 5 in 1969.source",1,"WIKIPEDIA EXCERPTAleksei Stanislavovich Yeliseyev is a retired Soviet cosmonaut who flew on three missions in the Soyuz programme as a flight engineer: Soyuz 5, Soyuz 8, and Soyuz 10. He made the world's eighth spacewalk during Soyuz 5 in 1969.","Aleksei Stanislavovich Yeliseyev is a retired Soviet cosmonaut who flew on three missions in the Soyuz programme as a flight engineer: Soyuz 5, Soyuz 8, and Soyuz 10. He made the world's eighth spacewalk during Soyuz 5 in 1969.","Donn Fulton Eisele was a United States Air Force officer, test pilot, and later a NASA astronaut. He occupied the command module pilot seat during the flight of Apollo 7 in 1968. After retiring from both NASA and the Air Force, he became the Peace Corps country director for Thailand, before moving into private business.",X,Eisele,FOUND
"Cunningham, Walter",WIKIPEDIA EXCERPTYevgeny Vasilyevich Khrunov was a Soviet cosmonaut who flew on the Soyuz 5/Soyuz 4 mission.source,1,WIKIPEDIA EXCERPTYevgeny Vasilyevich Khrunov was a Soviet cosmonaut who flew on the Soyuz 5/Soyuz 4 mission.,Yevgeny Vasilyevich Khrunov was a Soviet cosmonaut who flew on the Soyuz 5/Soyuz 4 mission.,"Ronnie Walter Cunningham, is a retired American astronaut. In 1968, he was a Lunar Module Pilot on the Apollo 7 mission. He was NASA's third civilian astronaut, and has also been a fighter pilot, physicist, entrepreneur, venture capitalist, and author of The All-American Boys. Following the deaths of Donn F. Eisele in 1987 and Wally Schirra in 2007, Cunningham is the last surviving crew member of Apollo 7.",X,Cunningham,FOUND
"Beregovoy, Georgy","WIKIPEDIA EXCERPTRussell Louis ""Rusty"" Schweickart is an American aeronautical engineer, and a former NASA astronaut, research scientist, U.S. Air Force fighter pilot, as well as a former business executive and government executive.source",1,"WIKIPEDIA EXCERPTRussell Louis ""Rusty"" Schweickart is an American aeronautical engineer, and a former NASA astronaut, research scientist, U.S. Air Force fighter pilot, as well as a former business executive and government executive.","Russell Louis ""Rusty"" Schweickart is an American aeronautical engineer, and a former NASA astronaut, research scientist, U.S. Air Force fighter pilot, as well as a former business executive and government executive.","Georgy Timofeyevich Beregovoy was a Soviet cosmonaut who commanded the space mission Soyuz 3 in 1968. At the time of his flight, Beregovoy was 47 years of age: he was the earliest-born human to go to orbit, being born three months and three days earlier than the second earliest-born man in orbit – John Glenn, but later than X-15 pilot Joe Walker who made 2 suborbital space flights.",X,Beregovoy,FOUND
"Anders, William","WIKIPEDIA EXCERPTGeorgy Stepanovich Shonin was a Soviet cosmonaut, who flew on the Soyuz 6 space mission.source",1,"WIKIPEDIA EXCERPTGeorgy Stepanovich Shonin was a Soviet cosmonaut, who flew on the Soyuz 6 space mission.","Georgy Stepanovich Shonin was a Soviet cosmonaut, who flew on the Soyuz 6 space mission.","William Alison Anders is a retired United States Air Force major general, former electrical engineer, nuclear engineer, NASA astronaut, and businessman. In December 1968, as a crew member of Apollo 8, he was one of the first three people to leave low Earth orbit and travel to the Moon. Along with fellow astronauts Frank Borman and Jim Lovell, Anders circled the Moon ten times, and broadcast live images and commentary back to Earth. During one of the mission's lunar orbits he photographed the iconic image, Earthrise.Apart from his professional and military careers, Anders was the U.S. Ambassador to Norway from 1976 to 1977 under President Gerald Ford.",X,Anders,FOUND
"Shatalov, Vladimir","WIKIPEDIA EXCERPTValeri Nikolayevich Kubasov was a Soviet/Russian cosmonaut who flew on two missions in the Soyuz programme as a flight engineer: Soyuz 6 and Soyuz 19, and commanded Soyuz 36 in the Intercosmos programme. On 21 July 1975, the Soyuz 7K-TM module used for ASTP landed in Kazakhstan at 5:51 p.m. and Kubasov was the first to exit the craft. Kubasov performed the first welding experiments in space, along with Georgy Shonin.source",1,"WIKIPEDIA EXCERPTValeri Nikolayevich Kubasov was a Soviet/Russian cosmonaut who flew on two missions in the Soyuz programme as a flight engineer: Soyuz 6 and Soyuz 19, and commanded Soyuz 36 in the Intercosmos programme. On 21 July 1975, the Soyuz 7K-TM module used for ASTP landed in Kazakhstan at 5:51 p.m. and Kubasov was the first to exit the craft. Kubasov performed the first welding experiments in space, along with Georgy Shonin.","Valeri Nikolayevich Kubasov was a Soviet/Russian cosmonaut who flew on two missions in the Soyuz programme as a flight engineer: Soyuz 6 and Soyuz 19, and commanded Soyuz 36 in the Intercosmos programme. On 21 July 1975, the Soyuz 7K-TM module used for ASTP landed in Kazakhstan at 5:51 p.m. and Kubasov was the first to exit the craft. Kubasov performed the first welding experiments in space, along with Georgy Shonin.","Vladimir Aleksandrovich Shatalov is a former Soviet cosmonaut who flew three space missions of the Soyuz programme: Soyuz 4, Soyuz 8, and Soyuz 10.",X,Shatalov,FOUND
"Volynov, Boris","WIKIPEDIA EXCERPTAnatoly Vasilyevich Filipchenko is a former Soviet cosmonaut of Ukrainian descent. He flew on the Soyuz 7 and Soyuz 16 missions. He was born in Davydovka, Voronezh Oblast, RSFSR. After leaving the space programme in 1982 Filipchenko became the Deputy Director of the OKB in Kharkiv.source",1,"WIKIPEDIA EXCERPTAnatoly Vasilyevich Filipchenko is a former Soviet cosmonaut of Ukrainian descent. He flew on the Soyuz 7 and Soyuz 16 missions. He was born in Davydovka, Voronezh Oblast, RSFSR. After leaving the space programme in 1982 Filipchenko became the Deputy Director of the OKB in Kharkiv.","Anatoly Vasilyevich Filipchenko is a former Soviet cosmonaut of Ukrainian descent. He flew on the Soyuz 7 and Soyuz 16 missions. He was born in Davydovka, Voronezh Oblast, RSFSR. After leaving the space programme in 1982 Filipchenko became the Deputy Director of the OKB in Kharkiv.","Boris Valentinovich Volynov is a Soviet cosmonaut who flew two space missions of the Soyuz programme: Soyuz 5, and Soyuz 21. He was the first Jewish cosmonaut to enter space,  preceding Judith Resnik in the United States. Following the death of Alexei Leonov in October 2019, he is the last surviving member of the original group of cosmonauts.",X,Volynov,FOUND
"Yeliseyev, Aleksei",WIKIPEDIA EXCERPTVladislav Nikolayevich Volkov was a Soviet cosmonaut who flew on the Soyuz 7 and Soyuz 11 missions. The second mission terminated fatally.source,1,WIKIPEDIA EXCERPTVladislav Nikolayevich Volkov was a Soviet cosmonaut who flew on the Soyuz 7 and Soyuz 11 missions. The second mission terminated fatally.,Vladislav Nikolayevich Volkov was a Soviet cosmonaut who flew on the Soyuz 7 and Soyuz 11 missions. The second mission terminated fatally.,"Aleksei Stanislavovich Yeliseyev is a retired Soviet cosmonaut who flew on three missions in the Soyuz programme as a flight engineer: Soyuz 5, Soyuz 8, and Soyuz 10. He made the world's eighth spacewalk during Soyuz 5 in 1969.",X,Yeliseyev,FOUND
"Khrunov, Yevgeny","WIKIPEDIA EXCERPTViktor Vasilyevich Gorbatko was a Soviet cosmonaut who flew on the Soyuz 7, Soyuz 24, and Soyuz 37 missions.source",1,"WIKIPEDIA EXCERPTViktor Vasilyevich Gorbatko was a Soviet cosmonaut who flew on the Soyuz 7, Soyuz 24, and Soyuz 37 missions.","Viktor Vasilyevich Gorbatko was a Soviet cosmonaut who flew on the Soyuz 7, Soyuz 24, and Soyuz 37 missions.",Yevgeny Vasilyevich Khrunov was a Soviet cosmonaut who flew on the Soyuz 5/Soyuz 4 mission.,X,Khrunov,FOUND
"Schweickart, Russell","WIKIPEDIA EXCERPTAlan LaVern ""Al"" Bean was an American naval officer and aviator, aeronautical engineer, test pilot, and NASA astronaut; he was the fourth person to walk on the Moon. He was selected to become an astronaut by NASA in 1963 as part of Astronaut Group 3.source",1,"WIKIPEDIA EXCERPTAlan LaVern ""Al"" Bean was an American naval officer and aviator, aeronautical engineer, test pilot, and NASA astronaut; he was the fourth person to walk on the Moon. He was selected to become an astronaut by NASA in 1963 as part of Astronaut Group 3.","Alan LaVern ""Al"" Bean was an American naval officer and aviator, aeronautical engineer, test pilot, and NASA astronaut; he was the fourth person to walk on the Moon. He was selected to become an astronaut by NASA in 1963 as part of Astronaut Group 3.","Russell Louis ""Rusty"" Schweickart is an American aeronautical engineer, and a former NASA astronaut, research scientist, U.S. Air Force fighter pilot, as well as a former business executive and government executive.",X,Schweickart,FOUND
"Shonin, Georgy","WIKIPEDIA EXCERPTJohn Leonard Swigert Jr. was an American test pilot, mechanical, aerospace engineer, United States Air Force pilot, NASA astronaut, and politician. In April 1970, as command module pilot of Apollo 13, he became one of twenty-four astronauts who flew to the Moon. Before joining NASA in 1966, Swigert was a civilian test pilot and fighter pilot in the Air National Guard. After leaving NASA, he ran for Senate but lost in a primary election against Bill Armstrong. Later he ran for Congress, but while running was diagnosed with cancer. He won the election for Colorado's new 6th district, but died before being sworn in.source",1,"WIKIPEDIA EXCERPTJohn Leonard Swigert Jr. was an American test pilot, mechanical, aerospace engineer, United States Air Force pilot, NASA astronaut, and politician. In April 1970, as command module pilot of Apollo 13, he became one of twenty-four astronauts who flew to the Moon. Before joining NASA in 1966, Swigert was a civilian test pilot and fighter pilot in the Air National Guard. After leaving NASA, he ran for Senate but lost in a primary election against Bill Armstrong. Later he ran for Congress, but while running was diagnosed with cancer. He won the election for Colorado's new 6th district, but died before being sworn in.","John Leonard Swigert Jr. was an American test pilot, mechanical, aerospace engineer, United States Air Force pilot, NASA astronaut, and politician. In April 1970, as command module pilot of Apollo 13, he became one of twenty-four astronauts who flew to the Moon. Before joining NASA in 1966, Swigert was a civilian test pilot and fighter pilot in the Air National Guard. After leaving NASA, he ran for Senate but lost in a primary election against Bill Armstrong. Later he ran for Congress, but while running was diagnosed with cancer. He won the election for Colorado's new 6th district, but died before being sworn in.","Georgy Stepanovich Shonin was a Soviet cosmonaut, who flew on the Soyuz 6 space mission.",X,Shonin,FOUND
"Kubasov, Valeri","WIKIPEDIA EXCERPTFred Wallace Haise Jr. is an American former NASA astronaut, fighter pilot with the U.S. Marine Corps and the U.S. Air Force and test pilot. He is one of only 24 people to have flown to the Moon, having flown as Lunar Module Pilot on Apollo 13. He was to have been the sixth person to land and walk on the Moon, but the Apollo 13 mission was aborted before lunar landing. He went on to fly Space Shuttle Approach and Landing Tests in 1977, and retired from NASA in 1979.source",1,"WIKIPEDIA EXCERPTFred Wallace Haise Jr. is an American former NASA astronaut, fighter pilot with the U.S. Marine Corps and the U.S. Air Force and test pilot. He is one of only 24 people to have flown to the Moon, having flown as Lunar Module Pilot on Apollo 13. He was to have been the sixth person to land and walk on the Moon, but the Apollo 13 mission was aborted before lunar landing. He went on to fly Space Shuttle Approach and Landing Tests in 1977, and retired from NASA in 1979.","Fred Wallace Haise Jr. is an American former NASA astronaut, fighter pilot with the U.S. Marine Corps and the U.S. Air Force and test pilot. He is one of only 24 people to have flown to the Moon, having flown as Lunar Module Pilot on Apollo 13. He was to have been the sixth person to land and walk on the Moon, but the Apollo 13 mission was aborted before lunar landing. He went on to fly Space Shuttle Approach and Landing Tests in 1977, and retired from NASA in 1979.","Valeri Nikolayevich Kubasov was a Soviet/Russian cosmonaut who flew on two missions in the Soyuz programme as a flight engineer: Soyuz 6 and Soyuz 19, and commanded Soyuz 36 in the Intercosmos programme. On 21 July 1975, the Soyuz 7K-TM module used for ASTP landed in Kazakhstan at 5:51 p.m. and Kubasov was the first to exit the craft. Kubasov performed the first welding experiments in space, along with Georgy Shonin.",X,Kubasov,FOUND
"Filipchenko, Anatoly",WIKIPEDIA EXCERPTVitaly Ivanovich Sevastyanov was a Soviet cosmonaut and an engineer who flew on the Soyuz 9 and Soyuz 18 missions.source,1,WIKIPEDIA EXCERPTVitaly Ivanovich Sevastyanov was a Soviet cosmonaut and an engineer who flew on the Soyuz 9 and Soyuz 18 missions.,Vitaly Ivanovich Sevastyanov was a Soviet cosmonaut and an engineer who flew on the Soyuz 9 and Soyuz 18 missions.,"Anatoly Vasilyevich Filipchenko is a former Soviet cosmonaut of Ukrainian descent. He flew on the Soyuz 7 and Soyuz 16 missions. He was born in Davydovka, Voronezh Oblast, RSFSR. After leaving the space programme in 1982 Filipchenko became the Deputy Director of the OKB in Kharkiv.",X,Filipchenko,FOUND
"Volkov, Vladislav","WIKIPEDIA EXCERPTStuart Allen ""Stu"" Roosa, was an  American aeronautical engineer, smokejumper, United States Air Force pilot, test pilot, and NASA astronaut, who was the Command Module Pilot for the Apollo 14 mission. The mission lasted from January 31 to February 9, 1971 and was the third mission to land astronauts on the Moon. While Shepard and Mitchell spent two days on the lunar surface, Roosa conducted experiments from orbit in the Command Module Kitty Hawk. He was one of 24 men to travel to the Moon, which he orbited 34 times.source",1,"WIKIPEDIA EXCERPTStuart Allen ""Stu"" Roosa, was an  American aeronautical engineer, smokejumper, United States Air Force pilot, test pilot, and NASA astronaut, who was the Command Module Pilot for the Apollo 14 mission. The mission lasted from January 31 to February 9, 1971 and was the third mission to land astronauts on the Moon. While Shepard and Mitchell spent two days on the lunar surface, Roosa conducted experiments from orbit in the Command Module Kitty Hawk. He was one of 24 men to travel to the Moon, which he orbited 34 times.","Stuart Allen ""Stu"" Roosa, was an  American aeronautical engineer, smokejumper, United States Air Force pilot, test pilot, and NASA astronaut, who was the Command Module Pilot for the Apollo 14 mission. The mission lasted from January 31 to February 9, 1971 and was the third mission to land astronauts on the Moon. While Shepard and Mitchell spent two days on the lunar surface, Roosa conducted experiments from orbit in the Command Module Kitty Hawk. He was one of 24 men to travel to the Moon, which he orbited 34 times.",Vladislav Nikolayevich Volkov was a Soviet cosmonaut who flew on the Soyuz 7 and Soyuz 11 missions. The second mission terminated fatally.,X,Volkov,FOUND
"Gorbatko, Viktor","WIKIPEDIA EXCERPTEdgar Dean ""Ed"" Mitchell was a United States Navy officer and aviator, test pilot, aeronautical engineer, ufologist and NASA astronaut. As the Lunar Module Pilot of Apollo 14, he spent nine hours working on the lunar surface in the Fra Mauro Highlands region, making him the sixth person to walk on the Moon.source",1,"WIKIPEDIA EXCERPTEdgar Dean ""Ed"" Mitchell was a United States Navy officer and aviator, test pilot, aeronautical engineer, ufologist and NASA astronaut. As the Lunar Module Pilot of Apollo 14, he spent nine hours working on the lunar surface in the Fra Mauro Highlands region, making him the sixth person to walk on the Moon.","Edgar Dean ""Ed"" Mitchell was a United States Navy officer and aviator, test pilot, aeronautical engineer, ufologist and NASA astronaut. As the Lunar Module Pilot of Apollo 14, he spent nine hours working on the lunar surface in the Fra Mauro Highlands region, making him the sixth person to walk on the Moon.","Viktor Vasilyevich Gorbatko was a Soviet cosmonaut who flew on the Soyuz 7, Soyuz 24, and Soyuz 37 missions.",X,Gorbatko,FOUND
"Bean, Alan","WIKIPEDIA EXCERPTNikolai Nikolayevich Rukavishnikov was a Soviet cosmonaut who flew three space missions of the Soyuz programme: Soyuz 10, Soyuz 16, and Soyuz 33. Two of these missions, Soyuz 10 and Soyuz 33 were intended to dock with Salyut space stations, but failed to do so.source",1,"WIKIPEDIA EXCERPTNikolai Nikolayevich Rukavishnikov was a Soviet cosmonaut who flew three space missions of the Soyuz programme: Soyuz 10, Soyuz 16, and Soyuz 33. Two of these missions, Soyuz 10 and Soyuz 33 were intended to dock with Salyut space stations, but failed to do so.","Nikolai Nikolayevich Rukavishnikov was a Soviet cosmonaut who flew three space missions of the Soyuz programme: Soyuz 10, Soyuz 16, and Soyuz 33. Two of these missions, Soyuz 10 and Soyuz 33 were intended to dock with Salyut space stations, but failed to do so.","Alan LaVern ""Al"" Bean was an American naval officer and aviator, aeronautical engineer, test pilot, and NASA astronaut; he was the fourth person to walk on the Moon. He was selected to become an astronaut by NASA in 1963 as part of Astronaut Group 3.",X,Bean,FOUND
"Swigert, John","WIKIPEDIA EXCERPTGeorgy Timofeyevich Dobrovolsky was a Soviet cosmonaut who commanded the three-man crew of the Soyuz 11 spacecraft. They became the world's first space station crew aboard Salyut 1, but died of asphyxiation because of an accidentally opened valve. They were the first and, as of 2020, the only humans to have died in space.source",1,"WIKIPEDIA EXCERPTGeorgy Timofeyevich Dobrovolsky was a Soviet cosmonaut who commanded the three-man crew of the Soyuz 11 spacecraft. They became the world's first space station crew aboard Salyut 1, but died of asphyxiation because of an accidentally opened valve. They were the first and, as of 2020, the only humans to have died in space.","Georgy Timofeyevich Dobrovolsky was a Soviet cosmonaut who commanded the three-man crew of the Soyuz 11 spacecraft. They became the world's first space station crew aboard Salyut 1, but died of asphyxiation because of an accidentally opened valve. They were the first and, as of 2020, the only humans to have died in space.","John Leonard Swigert Jr. was an American test pilot, mechanical, aerospace engineer, United States Air Force pilot, NASA astronaut, and politician. In April 1970, as command module pilot of Apollo 13, he became one of twenty-four astronauts who flew to the Moon. Before joining NASA in 1966, Swigert was a civilian test pilot and fighter pilot in the Air National Guard. After leaving NASA, he ran for Senate but lost in a primary election against Bill Armstrong. Later he ran for Congress, but while running was diagnosed with cancer. He won the election for Colorado's new 6th district, but died before being sworn in.",X,Swigert,FOUND
"Haise, Fred","WIKIPEDIA EXCERPTViktor Ivanovich Patsayev was a Soviet cosmonaut who flew on the  Soyuz 11 mission and was part of the second space crew to die during a space flight. On board the space station Salyut 1 he operated the Orion 1 Space Observatory, he became the first man to operate a telescope outside the Earth's atmosphere.source",1,"WIKIPEDIA EXCERPTViktor Ivanovich Patsayev was a Soviet cosmonaut who flew on the  Soyuz 11 mission and was part of the second space crew to die during a space flight. On board the space station Salyut 1 he operated the Orion 1 Space Observatory, he became the first man to operate a telescope outside the Earth's atmosphere.","Viktor Ivanovich Patsayev was a Soviet cosmonaut who flew on the  Soyuz 11 mission and was part of the second space crew to die during a space flight. On board the space station Salyut 1 he operated the Orion 1 Space Observatory, he became the first man to operate a telescope outside the Earth's atmosphere.","Fred Wallace Haise Jr. is an American former NASA astronaut, fighter pilot with the U.S. Marine Corps and the U.S. Air Force and test pilot. He is one of only 24 people to have flown to the Moon, having flown as Lunar Module Pilot on Apollo 13. He was to have been the sixth person to land and walk on the Moon, but the Apollo 13 mission was aborted before lunar landing. He went on to fly Space Shuttle Approach and Landing Tests in 1977, and retired from NASA in 1979.",X,Haise,FOUND
"Sevastyanov, Vitaly","WIKIPEDIA EXCERPTAlfred Merrill ""Al"" Worden was an American astronaut and engineer who was the command module pilot for the Apollo 15 lunar mission in 1971. One of only 24 people to have flown to the Moon, he orbited it 74 times in the command module Endeavour.source",1,"WIKIPEDIA EXCERPTAlfred Merrill ""Al"" Worden was an American astronaut and engineer who was the command module pilot for the Apollo 15 lunar mission in 1971. One of only 24 people to have flown to the Moon, he orbited it 74 times in the command module Endeavour.","Alfred Merrill ""Al"" Worden was an American astronaut and engineer who was the command module pilot for the Apollo 15 lunar mission in 1971. One of only 24 people to have flown to the Moon, he orbited it 74 times in the command module Endeavour.",Vitaly Ivanovich Sevastyanov was a Soviet cosmonaut and an engineer who flew on the Soyuz 9 and Soyuz 18 missions.,X,Sevastyanov,FOUND
"Roosa, Stuart","WIKIPEDIA EXCERPTJames Benson ""Jim"" Irwin was an American astronaut, aeronautical engineer, test pilot, and a United States Air Force pilot. He served as Apollo Lunar Module pilot for Apollo 15, the fourth human lunar landing. He was the eighth person to walk on the Moon and the first, and youngest, of those astronauts to die.source",1,"WIKIPEDIA EXCERPTJames Benson ""Jim"" Irwin was an American astronaut, aeronautical engineer, test pilot, and a United States Air Force pilot. He served as Apollo Lunar Module pilot for Apollo 15, the fourth human lunar landing. He was the eighth person to walk on the Moon and the first, and youngest, of those astronauts to die.","James Benson ""Jim"" Irwin was an American astronaut, aeronautical engineer, test pilot, and a United States Air Force pilot. He served as Apollo Lunar Module pilot for Apollo 15, the fourth human lunar landing. He was the eighth person to walk on the Moon and the first, and youngest, of those astronauts to die.","Stuart Allen ""Stu"" Roosa, was an  American aeronautical engineer, smokejumper, United States Air Force pilot, test pilot, and NASA astronaut, who was the Command Module Pilot for the Apollo 14 mission. The mission lasted from January 31 to February 9, 1971 and was the third mission to land astronauts on the Moon. While Shepard and Mitchell spent two days on the lunar surface, Roosa conducted experiments from orbit in the Command Module Kitty Hawk. He was one of 24 men to travel to the Moon, which he orbited 34 times.",X,Roosa,FOUND
"Mitchell, Edgar","WIKIPEDIA EXCERPTThomas Kenneth Mattingly II, is a former American naval officer and aviator, aeronautical engineer, test pilot, Rear Admiral in the United States Navy and astronaut who flew on the Apollo 16, STS-4 and STS-51-C missions.source",1,"WIKIPEDIA EXCERPTThomas Kenneth Mattingly II, is a former American naval officer and aviator, aeronautical engineer, test pilot, Rear Admiral in the United States Navy and astronaut who flew on the Apollo 16, STS-4 and STS-51-C missions.","Thomas Kenneth Mattingly II, is a former American naval officer and aviator, aeronautical engineer, test pilot, Rear Admiral in the United States Navy and astronaut who flew on the Apollo 16, STS-4 and STS-51-C missions.","Edgar Dean ""Ed"" Mitchell was a United States Navy officer and aviator, test pilot, aeronautical engineer, ufologist and NASA astronaut. As the Lunar Module Pilot of Apollo 14, he spent nine hours working on the lunar surface in the Fra Mauro Highlands region, making him the sixth person to walk on the Moon.",X,Mitchell,FOUND
"Rukavishnikov, Nikolay","WIKIPEDIA EXCERPTCharles Moss ""Charlie"" Duke Jr. is an American former astronaut, U.S. Air Force officer and test pilot. As lunar module pilot of Apollo 16 in 1972, he became the tenth and youngest person to walk on the Moon.source",1,"WIKIPEDIA EXCERPTCharles Moss ""Charlie"" Duke Jr. is an American former astronaut, U.S. Air Force officer and test pilot. As lunar module pilot of Apollo 16 in 1972, he became the tenth and youngest person to walk on the Moon.","Charles Moss ""Charlie"" Duke Jr. is an American former astronaut, U.S. Air Force officer and test pilot. As lunar module pilot of Apollo 16 in 1972, he became the tenth and youngest person to walk on the Moon.","Nikolai Nikolayevich Rukavishnikov was a Soviet cosmonaut who flew three space missions of the Soyuz programme: Soyuz 10, Soyuz 16, and Soyuz 33. Two of these missions, Soyuz 10 and Soyuz 33 were intended to dock with Salyut space stations, but failed to do so.",X,Rukavishnikov,FOUND
"Dobrovolsky, Georgy","WIKIPEDIA EXCERPTRonald Ellwin ""Ron"" Evans Jr., was an American naval officer and aviator, electrical engineer, aeronautical engineer, NASA astronaut and, of the 24 astronauts to have flown to the Moon, one of 12 people to have flown to the Moon without landing on it.source",1,"WIKIPEDIA EXCERPTRonald Ellwin ""Ron"" Evans Jr., was an American naval officer and aviator, electrical engineer, aeronautical engineer, NASA astronaut and, of the 24 astronauts to have flown to the Moon, one of 12 people to have flown to the Moon without landing on it.","Ronald Ellwin ""Ron"" Evans Jr., was an American naval officer and aviator, electrical engineer, aeronautical engineer, NASA astronaut and, of the 24 astronauts to have flown to the Moon, one of 12 people to have flown to the Moon without landing on it.","Georgy Timofeyevich Dobrovolsky was a Soviet cosmonaut who commanded the three-man crew of the Soyuz 11 spacecraft. They became the world's first space station crew aboard Salyut 1, but died of asphyxiation because of an accidentally opened valve. They were the first and, as of 2020, the only humans to have died in space.",X,Dobrovolsky,FOUND
"Patsayev, Viktor","WIKIPEDIA EXCERPTHarrison Hagan ""Jack"" Schmitt is an American geologist, retired NASA astronaut, university professor, former U.S. senator from New Mexico, and the most recent person still living to have walked on the Moon.source",1,"WIKIPEDIA EXCERPTHarrison Hagan ""Jack"" Schmitt is an American geologist, retired NASA astronaut, university professor, former U.S. senator from New Mexico, and the most recent person still living to have walked on the Moon.","Harrison Hagan ""Jack"" Schmitt is an American geologist, retired NASA astronaut, university professor, former U.S. senator from New Mexico, and the most recent person still living to have walked on the Moon.","Viktor Ivanovich Patsayev was a Soviet cosmonaut who flew on the  Soyuz 11 mission and was part of the second space crew to die during a space flight. On board the space station Salyut 1 he operated the Orion 1 Space Observatory, he became the first man to operate a telescope outside the Earth's atmosphere.",X,Patsayev,FOUND
"Worden, Alfred","WIKIPEDIA EXCERPTJoseph Peter Kerwin, is an American physician and former NASA astronaut, who served as Science Pilot for the Skylab 2 mission from May 25–June 22, 1973. He was the first physician to be selected for astronaut training. Kerwin is the last surviving crew member of Skylab 2.source",1,"WIKIPEDIA EXCERPTJoseph Peter Kerwin, is an American physician and former NASA astronaut, who served as Science Pilot for the Skylab 2 mission from May 25–June 22, 1973. He was the first physician to be selected for astronaut training. Kerwin is the last surviving crew member of Skylab 2.","Joseph Peter Kerwin, is an American physician and former NASA astronaut, who served as Science Pilot for the Skylab 2 mission from May 25–June 22, 1973. He was the first physician to be selected for astronaut training. Kerwin is the last surviving crew member of Skylab 2.","Alfred Merrill ""Al"" Worden was an American astronaut and engineer who was the command module pilot for the Apollo 15 lunar mission in 1971. One of only 24 people to have flown to the Moon, he orbited it 74 times in the command module Endeavour.",X,Worden,FOUND
